#run chan atten(dB)
10540 01BH 46 
10537 01BV 46 
10664 01MH 46 
10661 01MV 46 
10778 01TH 47 
10775 01TV 47 
10547 02BH 46 
10543 02BV 46 
10670 02MH 47 
10667 02MV 47 
10833 02TH 47 
10830 02TV 47 
10555 03BH 66 
10550 03BV 46 
10676 03MH 47 
10673 03MV 47 
10784 03TH 47 
10781 03TV 47 
10565 04BH 46 
10557 04BV 46 
10682 04MH 47 
10679 04MV 47 
10840 04TH 47 
10837 04TV 47 
10588 05BH 46 
10585 05BV 46 
10688 05MH 47 
10685 05MV 47 
10790 05TH 47
10787 05TV 47
10594 06BH 46 
10591 06BV 46 
10694 06MH 47 
10691 06MV 47 
10846 06TH 47 
10843 06TV 47 
10601 07BH 46 
10597 07BV 46 
10700 07MH 47 
10697 07MV 47 
10798 07TH 47 
10795 07TV 47 
10607 08BH 46 
10604 08BV 46 
10706 08MH 47 
10703 08MV 47 
10853 08TH 47 
10850 08TV 47 
10613 09BH 46 
10610 09BV 46 
10712 09MH 47 
10709 09MV 47 
10804 09TH 47 
10801 09TV 47 
10619 10BH 46 
10616 10BV 46 
10718 10MH 47 
10715 10MV 47 
10860 10TH 47 
10857 10TV 47 
10627 11BH 46 
10624 11BV 46 
10724 11MH 47 
10721 11MV 47 
10810 11TH 47 
10807 11TV 47 
10633 12BH 46 
10630 12BV 46 
10746 12MH 47 
10743 12MV 47 
10882 12TH 47 
10863 12TV 47 
10639 13BH 46 
10636 13BV 46 
10752 13MH 47 
10749 13MV 47 
10816 13TH 47 
10813 13TV 47 
10646 14BH 46 
10642 14BV 46 
10759 14MH 47 
10756 14MV 47 
10888 14TH 47 
10885 14TV 47 
10652 15BH 46 
10649 15BV 46 
10765 15MH 47 
10762 15MV 47 
10827 15TH 47 
10819 15TV 47 
10655 16BV 46 
10655 16BH 00  
10772 16MH 47 
10769 16MV 47 
10894 16TH 47
10891 16TV 47
